 fh_2_1,39.0334924014,-94.576292485,FH-AP-272,39.0335747,-94.57628779
 fh_2_10,39.0337773169,-94.5764232427,FH-AP-228,39.03378982,-94.57666866
 fh_2_11,39.033788776,-94.576530531,FH-AP-228,39.03378982,-94.57666866
 fh_2_12,39.0337866925,-94.5766378194,FH-AP-204,39.03369606,-94.57656071
 fh_2_13,39.0337939847,-94.5767618716,FH-AP-228,39.03378982,-94.57666866
 fh_2_14,39.0337960681,-94.5768557489,FH-AP-2ndFlrW_DC,39.03376742,-94.5769047
 fh_2_15,39.0338007559,-94.5769502968,FH-AP-2ndFlrW_DC,39.03376742,-94.5769047
 fh_2_16,39.0337955473,-94.5770461857,FH-AP-228,39.03378982,-94.57666866
 fh_2_17,39.0337064788,-94.577017352,FH-AP-204,39.03369606,-94.57656071
 fh_2_18,39.0337075205,-94.5768832415,FH-AP-2ndFlrW_DC,39.03376742,-94.5769047
 fh_2_19,39.0337507526,-94.5768537372,FH-AP-416DC,39.0337669,-94.57690202
 fh_2_2,39.0335830328,-94.5762918144,FH-AP-272,39.0335747,-94.57628779
 fh_2_20,39.0337002284,-94.5767504722,FH-AP-228,39.03378982,-94.57666866
 fh_2_21,39.0337023118,-94.5766746998,FH-AP-228,39.03378982,-94.57666866
 fh_2_22,39.0336955405,-94.5765721053,FH-AP-204,39.03369606,-94.57656071
 fh_2_23,39.0336981449,-94.5764896274,FH-AP-204,39.03369606,-94.57656071
 fh_2_4,39.0337403352,-94.5762488991,FH-AP-2ndFlr_East_DC,39.03377836,-94.57631193
 fh_2_5,39.0337330431,-94.5762019604,FH-AP-2ndFlr_East_DC,39.03377836,-94.57631193
 fh_2_6,39.0338002351,-94.5762804151,FH-AP-2ndFlr_East_DC,39.03377836,-94.57631193
 fh_2_7,39.0338788861,-94.5762770623,FH-AP-250,39.03394608,-94.57627036
 fh_2_8,39.0339481614,-94.5762710273,FH-AP-250,39.03394608,-94.57627036
 fh_2_9,39.0337351265,-94.5763340592,FH-AP-2ndFlr_East_DC,39.03377836,-94.57631193
 fh_3_1,39.0339939977,-94.5761945844,FH-AP-450,39.03396587,-94.57634144
 fh_3_10,39.0334601075,-94.576216042,FH-AP-370,39.03345542,-94.57629517
 fh_3_11,39.033462191,-94.5763038844,FH-AP-570_Suite,39.03346844,-94.57628712
 fh_3_12,39.033462191,-94.5763984323,FH-AP-570_Suite,39.03346844,-94.57628712
 fh_3_13,39.0337247092,-94.5763427764,FH-AP-2ndFlr_East_DC,39.03377836,-94.57631193
 fh_3_14,39.0336908527,-94.5764105022,FH-AP-302,39.03369137,-94.57666934
 fh_3_15,39.033705437,-94.57651712,FH-AP-423,39.03378305,-94.57658753
 fh_3_16,39.0336924153,-94.5766505599,FH-AP-302,39.03369137,-94.57666934
 fh_3_17,39.0336908527,-94.5767685771,FH-AP-302,39.03369137,-94.57666934
 fh_3_18,39.033697624,-94.5768671483,FH-AP-310a,39.0336971,-94.57689732
 fh_3_19,39.0337028327,-94.5769838244,FH-AP-310a,39.0336971,-94.57689732
 fh_3_2,39.0339976437,-94.5762763917,FH-AP-250,39.03394608,-94.57627036
 fh_3_20,39.0337752334,-94.5763977617,FH-AP-5thFlrSE,39.03368877,-94.57644202
 fh_3_21,39.0338314871,-94.5765352249,FH-AP-529,39.03378044,-94.57660362
 fh_3_22,39.0337872134,-94.5766076446,FH-AP-228,39.03378982,-94.57666866
